,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
146,Tata,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0
147,Volkswagen,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0
149,Skoda,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0
153,Honda,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0
154,Toyota,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0
155,Maruti,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0
156,Maruti,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0
158,Tata,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0
165,Volkswagen,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0
166,Ford,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0
167,Ford,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0
168,Maruti,2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
169,Maruti,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0
170,Hyundai,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0
172,Maruti,2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0
173,Hyundai,2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0
174,Volkswagen,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0
175,Hyundai,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0
176,Maruti,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0
177,Hyundai,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0
178,Honda,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0
179,Toyota,2010,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0
183,Tata,2017,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0
184,Honda,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0
185,Maruti,2005,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0
186,Maruti,2010,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0
187,Hyundai,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0
188,Maruti,2016,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0
189,Hyundai,2005,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0
190,Hyundai,2020,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0
191,Maruti,2017,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0
192,Tata,2019,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0
194,Honda,2015,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0
195,Honda,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0
196,Maruti,2016,360000,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0
197,Maruti,2017,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0
198,Hyundai,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0
199,Maruti,2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0
200,Maruti,2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0
201,Maruti,2018,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0
202,Maruti,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0
203,Maruti,2017,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
205,Hyundai,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0
206,Maruti,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0
207,Maruti,2015,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
209,Honda,2012,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5.0
210,Maruti,2018,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5.0
212,Maruti,2011,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
213,Renault,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
214,Datsun,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5.0
215,Maruti,2017,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
216,Hyundai,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0
217,Maruti,2015,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
218,Hyundai,2012,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5.0
219,Tata,2018,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0
220,Nissan,2014,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0
222,Nissan,2015,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5.0
223,Maruti,2016,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
226,Maruti,2010,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5.0
228,Renault,2016,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
231,Maruti,2017,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0
232,Hyundai,2011,165000,75000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5.0
233,Hyundai,2007,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5.0
236,Maruti,2013,550000,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
237,Honda,2019,680000,15000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.76,5.0
238,Hyundai,2009,200000,53000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0
239,Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5.0
241,Hyundai,2008,110000,120000,Petrol,Individual,Manual,Second Owner,14.2,1341.0,82.9,5.0
242,Hyundai,2012,320000,100000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5.0
243,Maruti,2015,350000,100000,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,5.0
244,Tata,2013,170000,162500,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0
245,Hyundai,2017,800000,39000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
246,Maruti,2017,500000,75000,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,5.0
250,Maruti,2012,360000,158000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
251,Maruti,2012,310000,120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0
252,Honda,2015,725000,50000,Diesel,Individual,Manual,Second Owner,26.0,1498.0,98.6,5.0
253,Maruti,2012,340000,110000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0
254,Hyundai,2017,550000,2000,Diesel,Individual,Manual,Second Owner,25.4,1186.0,73.97,5.0
256,Tata,2016,380000,70000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5.0
257,Nissan,2013,350000,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498.0,99.6,5.0
258,Hyundai,2019,610000,2000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0
259,Maruti,2015,525000,20000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0
263,Maruti,2014,375000,80000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
264,Datsun,2019,300000,40000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,5.0
265,Hyundai,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396.0,88.73,5.0
268,Tata,2017,350000,120000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5.0
269,Tata,2015,380000,40000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0
270,Hyundai,2008,114999,95200,Petrol,Individual,Manual,Third Owner,13.2,1495.0,94.0,5.0
271,Honda,2014,335000,33033,Petrol,Dealer,Manual,First Owner,19.4,1198.0,86.8,5.0
272,Hyundai,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197.0,82.0,5.0
273,Tata,2012,290000,60000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0
274,Maruti,2005,110000,45000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
280,Hyundai,2017,450000,35000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0
281,Hyundai,2013,290000,50000,Petrol,Individual,Automatic,First Owner,16.95,1197.0,78.9,5.0
282,Maruti,2016,520000,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
283,Hyundai,2011,265000,20000,Petrol,Individual,Automatic,First Owner,16.95,1197.0,78.9,5.0
284,Maruti,2012,330000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,85.8,5.0
287,Hyundai,2015,525000,50000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5.0
288,Maruti,2019,675000,16500,Petrol,Individual,Manual,First Owner,21.01,1197.0,81.8,5.0
289,Hyundai,2010,300000,70000,Petrol,Individual,Manual,First Owner,17.0,1197.0,80.0,5.0
290,Maruti,2005,90000,99361,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
291,Maruti,2017,650000,25000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
292,Maruti,2014,409000,70000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,85.8,5.0
293,Hyundai,2015,395000,80000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5.0
294,Maruti,2014,400000,70000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,85.8,5.0
295,Chevrolet,2012,120000,60000,Petrol,Individual,Manual,Third Owner,18.6,1199.0,79.4,5.0
296,Tata,2018,645000,10000,Petrol,Individual,Automatic,First Owner,20.3,1199.0,84.0,5.0
299,Honda,2017,1250000,33000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0
301,Nissan,2014,555000,80100,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.5,5.0
302,Honda,2014,725000,120000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0
303,Renault,2016,229999,40000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
305,Maruti,2017,409999,47000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0
306,Hyundai,2018,1210000,25000,Diesel,Individual,Manual,First Owner,21.38,1396.0,88.7,5.0
307,Tata,2017,400000,26000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0
308,Hyundai,2018,520000,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0
309,Maruti,2016,650000,50000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5.0
310,Maruti,2011,325000,58000,Petrol,Individual,Manual,Third Owner,16.1,1298.0,88.2,5.0
311,Maruti,2012,420000,120000,Petrol,Individual,Automatic,First Owner,17.4,1197.0,85.8,5.0
312,Maruti,2014,400000,50000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0
313,Hyundai,2010,254999,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197.0,80.0,5.0
314,Maruti,2003,65000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,5.0
315,Maruti,2017,351000,36000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0
317,Maruti,2011,185000,185000,Diesel,Individual,Manual,Third Owner,21.1,1248.0,73.9,5.0
318,Nissan,2011,250000,50000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0
319,Maruti,2002,60000,100000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,5.0
321,Maruti,2007,85000,80000,Petrol,Individual,Manual,Second Owner,18.2,998.0,67.1,5.0
322,Maruti,2005,85000,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0
323,Maruti,2011,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0
324,Maruti,2010,130000,162000,Petrol,Individual,Manual,Second Owner,19.0,998.0,66.1,5.0
326,Maruti,2008,170000,120000,Diesel,Individual,Manual,Third Owner,17.8,1248.0,75.0,5.0
327,Nissan,2011,275000,45000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0
328,Maruti,2005,89000,90000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0
329,Ford,2010,170000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0
330,Mahindra,2019,1090000,16500,Petrol,Dealer,Manual,First Owner,17.0,1197.0,110.0,5.0
332,Maruti,2018,610000,52000,Petrol,Dealer,Manual,First Owner,22.0,1197.0,81.8,5.0
333,Datsun,2016,335000,40000,Petrol,Dealer,Manual,First Owner,20.63,1198.0,67.0,5.0
334,Hyundai,2015,434999,40000,Petrol,Dealer,Manual,First Owner,18.9,1197.0,82.0,5.0
336,Renault,2018,390000,13000,Petrol,Dealer,Manual,First Owner,20.71,799.0,53.26,5.0
337,Honda,2012,325000,40000,Petrol,Dealer,Manual,First Owner,18.5,1198.0,86.8,5.0
338,Volkswagen,2019,640000,10000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,73.75,5.0
339,Nissan,2012,450000,9000,Petrol,Dealer,Manual,First Owner,16.95,1498.0,97.7,5.0
340,Toyota,2013,400000,70000,Diesel,Dealer,Manual,Second Owner,23.59,1364.0,67.06,5.0
341,Hyundai,2009,215000,60000,Petrol,Dealer,Manual,First Owner,20.36,1197.0,78.9,5.0
342,Renault,2014,570000,40000,Diesel,Dealer,Manual,First Owner,20.45,1461.0,83.8,5.0
345,Tata,2011,150000,50000,Petrol,Individual,Manual,Second Owner,15.64,1193.0,64.08,5.0
349,Nissan,2013,250000,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0
350,Maruti,2005,65000,35000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0
351,Maruti,2016,550000,60000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0
352,Hyundai,2010,140000,70000,Petrol,Individual,Manual,Fourth & Above Owner,20.36,1197.0,78.9,5.0
353,Renault,2016,300000,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0
358,Maruti,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.05,5.0
359,Maruti,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,5.0
360,Honda,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.7,5.0
362,Maruti,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,5.0
363,Toyota,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.73,5.0
364,Maruti,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197.0,81.8,5.0
365,Hyundai,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186.0,73.97,5.0
368,Honda,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199.0,88.76,5.0
370,Hyundai,2010,150000,106000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0
372,Maruti,2015,480000,90000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
375,Maruti,2012,300000,100000,Diesel,Individual,Manual,Second Owner,21.5,1248.0,88.8,5.0
378,Maruti,2016,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0
379,Honda,2018,1085000,1000,Petrol,Individual,Automatic,First Owner,18.0,1497.0,117.6,5.0
380,Maruti,2017,750000,19000,Diesel,Individual,Automatic,First Owner,28.4,1248.0,74.02,5.0
382,Maruti,2020,409999,35000,CNG,Individual,Manual,First Owner,20.88,1196.0,61.7,5.0
383,Maruti,2014,215000,80000,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,5.0
385,Maruti,2010,150000,80000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0
386,Hyundai,2013,219000,50000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0
387,Tata,2018,325000,100000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0
388,Maruti,2013,260000,120000,Petrol,Individual,Manual,Second Owner,15.1,1196.0,73.0,5.0
389,Honda,2019,700000,40000,Diesel,Individual,Automatic,First Owner,23.8,1498.0,78.9,5.0
390,Hyundai,2017,950000,45000,Diesel,Individual,Manual,First Owner,21.38,1396.0,88.7,5.0
391,Maruti,2010,160000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
